City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Tulsa,Estados Unidos,355.0,674.8,American Airlines,TUL,2023-06-19,2023-06-25,http://kayak.com/flights/EWR-TUL/2023-06-19/2023-06-25/
Providenciales,Ilhas Turcas e Caicos,1435.0,438.91,United Airlines,PLS,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-PLS/2023-06-01/2023-06-05/
Cidade de Belize,Belize,495.0,596.8,United Airlines,BZE,2023-06-03,2023-06-07,http://kayak.com/flights/EWR-BZE/2023-06-03/2023-06-07/
Simpson Bay,São Martinho (Sint Maarten),1135.0,684.2,Várias companhias aéreas,SXM,2023-06-15,2023-06-21,http://kayak.com/flights/EWR-SXM/2023-06-15/2023-06-21/
San Andrés,Colômbia,1744.0,632.51,Copa Airlines,ADZ,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-ADZ/2023-06-15/2023-06-19/
Maceió,Brasil,3667.0,997.16,Várias companhias aéreas,MCZ,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-MCZ/2023-06-05/2023-06-12/
São Paulo,Brasil,1693.0,1759.37,GOL,CGH,2023-06-24,2023-06-30,http://kayak.com/flights/EWR-CGH/2023-06-24/2023-06-30/
Dar Es Salaam,Tanzânia,1375.0,1529.11,Ethiopian Air,DAR,2023-06-22,2023-06-29,http://kayak.com/flights/EWR-DAR/2023-06-22/2023-06-29/
Lamezia Terme,Itália,1990.0,2420.07,Várias companhias aéreas,SUF,2023-06-09,2023-06-16,http://kayak.com/flights/EWR-SUF/2023-06-09/2023-06-16/
Banguecoque,Tailândia,2100.0,2312.93,Várias companhias aéreas,DMK,2023-06-12,2023-06-16,http://kayak.com/flights/EWR-DMK/2023-06-12/2023-06-16/
Missoula,Estados Unidos,1049.0,551.69,American Airlines,MSO,2023-06-18,2023-06-23,http://kayak.com/flights/EWR-MSO/2023-06-18/2023-06-23/
Kalispell,Estados Unidos,1552.0,665.4,American Airlines,FCA,2023-06-16,2023-06-20,http://kayak.com/flights/EWR-FCA/2023-06-16/2023-06-20/
Vitória,Canadá,975.0,610.89,Air Canada,YYJ,2023-06-04,2023-06-10,http://kayak.com/flights/EWR-YYJ/2023-06-04/2023-06-10/
Colorado Springs,Estados Unidos,560.0,515.97,American Airlines,COS,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-COS/2023-06-01/2023-06-08/
Medford,Estados Unidos,1449.0,641.91,Várias companhias aéreas,MFR,2023-06-22,2023-06-26,http://kayak.com/flights/EWR-MFR/2023-06-22/2023-06-26/
León,México,1045.0,586.46,American Airlines,BJX,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-BJX/2023-06-19/2023-06-26/
Aguadilla,Porto Rico,948.0,445.48,Spirit Airlines,BQN,2023-06-11,2023-06-15,http://kayak.com/flights/EWR-BQN/2023-06-11/2023-06-15/
Fort-de-France,Martinica,1300.0,585.52,Air Canada,FDF,2023-06-10,2023-06-14,http://kayak.com/flights/EWR-FDF/2023-06-10/2023-06-14/
Panama City,Estados Unidos,264.0,375.0,Delta,ECP,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-ECP/2023-06-01/2023-06-05/
Cuzco,Perú,1157.0,1169.15,Várias companhias aéreas,CUZ,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-CUZ/2023-06-03/2023-06-10/
Shannon,Irlanda,810.0,999.98,United Airlines,SNN,2023-06-14,2023-06-18,http://kayak.com/flights/EWR-SNN/2023-06-14/2023-06-18/
Saraievo,Bósnia-Herzegóvina,1250.0,1197.35,Várias companhias aéreas,SJJ,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-SJJ/2023-06-20/2023-06-27/
Génova,Itália,760.0,1382.49,Lufthansa,GOA,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-GOA/2023-06-21/2023-06-28/
Banjul,Gâmbia,1350.0,1509.37,Várias companhias aéreas,BJL,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-BJL/2023-06-15/2023-06-19/
Rabate,Marrocos,945.0,885.32,Delta,RBA,2023-06-07,2023-06-12,http://kayak.com/flights/EWR-RBA/2023-06-07/2023-06-12/
Jerez de la Frontera,Espanha,2555.0,1250.92,Várias companhias aéreas,XRY,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-XRY/2023-06-21/2023-06-28/
Quichinau,Moldávia,1730.0,1219.9,Austrian Airlines,KIV,2023-06-18,2023-06-24,http://kayak.com/flights/EWR-KIV/2023-06-18/2023-06-24/
Oslo,Noruega,1425.0,1163.51,Scandinavian Airlines,TRF,2023-06-18,2023-06-25,http://kayak.com/flights/EWR-TRF/2023-06-18/2023-06-25/
Billings,Estados Unidos,1147.0,709.58,American Airlines,BIL,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-BIL/2023-06-21/2023-06-28/
Saskatoon,Canadá,818.0,571.42,Air Canada,YXE,2023-06-05,2023-06-10,http://kayak.com/flights/EWR-YXE/2023-06-05/2023-06-10/
Kelowna,Canadá,913.0,484.02,United Airlines,YLW,2023-06-08,2023-06-14,http://kayak.com/flights/EWR-YLW/2023-06-08/2023-06-14/
Jackson,Estados Unidos,1388.0,561.08,American Airlines,JAC,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-JAC/2023-06-08/2023-06-15/
Cedar Rapids,Estados Unidos,384.0,461.46,American Airlines,CID,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-CID/2023-06-08/2023-06-13/
Fayetteville,Estados Unidos,369.0,401.31,American Airlines,XNA,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-XNA/2023-06-21/2023-06-28/
Willemstad,Curaçao,1325.0,537.59,American Airlines,CUR,2023-06-23,2023-06-29,http://kayak.com/flights/EWR-CUR/2023-06-23/2023-06-29/
Wilmington,Estados Unidos,248.0,295.11,American Airlines,ILM,2023-06-06,2023-06-10,http://kayak.com/flights/EWR-ILM/2023-06-06/2023-06-10/
Porto Plata,República Dominicana,234.0,491.54,United Airlines,POP,2023-06-11,2023-06-17,http://kayak.com/flights/EWR-POP/2023-06-11/2023-06-17/
Dayton,Estados Unidos,351.0,376.88,Delta,DAY,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-DAY/2023-06-01/2023-06-05/
Georgetown,Guiana,717.0,771.61,Copa Airlines,GEO,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-GEO/2023-06-08/2023-06-15/
Mérida,México,487.0,606.2,American Airlines,MID,2023-06-04,2023-06-10,http://kayak.com/flights/EWR-MID/2023-06-04/2023-06-10/
Harrisburg,Estados Unidos,1371.0,671.98,Allegiant Air,MDT,2023-06-25,2023-06-29,http://kayak.com/flights/EWR-MDT/2023-06-25/2023-06-29/
Rio de Janeiro,Brasil,1163.0,742.47,LATAM Airlines,SDU,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-SDU/2023-06-20/2023-06-27/
São Paulo,Brasil,868.0,1189.83,Azul,VCP,2023-06-02,2023-06-09,http://kayak.com/flights/EWR-VCP/2023-06-02/2023-06-09/
Papete,Polinésia Francesa,1555.0,804.5,Várias companhias aéreas,PPT,2023-06-11,2023-06-15,http://kayak.com/flights/EWR-PPT/2023-06-11/2023-06-15/
St John's,Canadá,570.0,530.07,Porter Airlines,YYT,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-YYT/2023-06-01/2023-06-08/
Belfast,Reino Unido,660.0,986.83,British Airways,BFS,2023-06-12,2023-06-18,http://kayak.com/flights/EWR-BFS/2023-06-12/2023-06-18/
Antananarivo,Madagáscar,2220.0,1757.49,Várias companhias aéreas,TNR,2023-06-15,2023-06-22,http://kayak.com/flights/EWR-TNR/2023-06-15/2023-06-22/
Entebbe,Uganda,1440.0,1255.62,Ethiopian Air,EBB,2023-06-03,2023-06-09,http://kayak.com/flights/EWR-EBB/2023-06-03/2023-06-09/
Brindisi,Itália,1070.0,1519.71,Várias companhias aéreas,BDS,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-BDS/2023-06-10/2023-06-17/
Roma,Itália,1260.0,925.74,Várias companhias aéreas,CIA,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-CIA/2023-06-17/2023-06-24/
Nadi,Fiji,2680.0,1612.75,American Airlines,NAN,2023-06-22,2023-06-27,http://kayak.com/flights/EWR-NAN/2023-06-22/2023-06-27/
Nagóia,Japão,1776.0,1687.0,Air Canada,NGO,2023-06-11,2023-06-18,http://kayak.com/flights/EWR-NGO/2023-06-11/2023-06-18/
Trieste,Itália,2165.0,1255.62,TAP AIR PORTUGAL,TRS,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-TRS/2023-06-13/2023-06-20/
Edmonton,Canadá,507.0,436.09,Air Canada,YEA,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-YEA/2023-06-01/2023-06-05/
Santa Rosa,Estados Unidos,1320.0,520.67,Várias companhias aéreas,STS,2023-06-06,2023-06-11,http://kayak.com/flights/EWR-STS/2023-06-06/2023-06-11/
Springfield,Estados Unidos,375.0,508.45,Delta,SGF,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-SGF/2023-06-08/2023-06-12/
Sioux Falls,Estados Unidos,557.0,582.7,American Airlines,FSD,2023-06-23,2023-06-27,http://kayak.com/flights/EWR-FSD/2023-06-23/2023-06-27/
Santa Barbara,Estados Unidos,1392.0,469.92,United Airlines,SBA,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-SBA/2023-06-01/2023-06-05/
Fairbanks,Estados Unidos,951.0,908.82,American Airlines,FAI,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-FAI/2023-06-19/2023-06-26/
Hamilton,Bermudas,155.0,374.06,United Airlines,BDA,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-BDA/2023-06-01/2023-06-05/
Grande Caimão,Ilhas Cayman,246.0,484.96,United Airlines,GCM,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-GCM/2023-06-10/2023-06-17/
Tampa,Estados Unidos,826.0,291.35,Allegiant Air,PIE,2023-06-12,2023-06-16,http://kayak.com/flights/EWR-PIE/2023-06-12/2023-06-16/
Saint George.s,Granada,1693.0,513.15,American Airlines,GND,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-GND/2023-06-15/2023-06-19/
Valparaíso,Estados Unidos,619.0,298.87,Allegiant Air,VPS,2023-06-23,2023-06-29,http://kayak.com/flights/EWR-VPS/2023-06-23/2023-06-29/
Comayagua,Honduras,955.0,582.7,Spirit Airlines,XPL,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-XPL/2023-06-03/2023-06-10/
Lexington,Estados Unidos,291.0,387.21,Delta,LEX,2023-06-22,2023-06-26,http://kayak.com/flights/EWR-LEX/2023-06-22/2023-06-26/
Columbia,Estados Unidos,350.0,364.66,American Airlines,CAE,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-CAE/2023-06-15/2023-06-19/
Huntsville,Estados Unidos,357.0,589.28,Delta,HSV,2023-06-25,2023-06-30,http://kayak.com/flights/EWR-HSV/2023-06-25/2023-06-30/
Daytona Beach,Estados Unidos,411.0,379.7,American Airlines,DAB,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-DAB/2023-06-04/2023-06-11/
Leeds,Reino Unido,1216.0,2015.0,British Airways,LBA,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-LBA/2023-06-20/2023-06-27/
Cork,Irlanda,1668.0,885.32,KLM,ORK,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-ORK/2023-06-01/2023-06-08/
Esmirna,Turquia,1435.0,2105.22,LOT,IZM,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-IZM/2023-06-03/2023-06-10/
Pequim,China,2221.0,2018.76,Várias companhias aéreas,PEK,2023-06-07,2023-06-12,http://kayak.com/flights/EWR-PEK/2023-06-07/2023-06-12/
Kosice,Eslováquia,3245.0,1220.84,LOT,KSC,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-KSC/2023-06-01/2023-06-08/
Dusseldorf,Alemanha,960.0,1191.71,Várias companhias aéreas,NRN,2023-06-09,2023-06-16,http://kayak.com/flights/EWR-NRN/2023-06-09/2023-06-16/
Fargo,Estados Unidos,371.0,492.48,Delta,FAR,2023-06-03,2023-06-07,http://kayak.com/flights/EWR-FAR/2023-06-03/2023-06-07/
Oaxaca,México,572.0,636.27,American Airlines,OAX,2023-06-04,2023-06-10,http://kayak.com/flights/EWR-OAX/2023-06-04/2023-06-10/
Jackson,Estados Unidos,433.0,531.95,American Airlines,JAN,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-JAN/2023-06-04/2023-06-11/
Querétaro,México,796.0,562.96,American Airlines,QRO,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-QRO/2023-06-19/2023-06-26/
Orlando,Estados Unidos,885.0,357.14,Allegiant Air,SFB,2023-06-17,2023-06-22,http://kayak.com/flights/EWR-SFB/2023-06-17/2023-06-22/
Tallahassee,Estados Unidos,275.0,393.79,Delta,TLH,2023-06-03,2023-06-07,http://kayak.com/flights/EWR-TLH/2023-06-03/2023-06-07/
Akron,Estados Unidos,319.0,408.83,American Airlines,CAK,2023-06-07,2023-06-11,http://kayak.com/flights/EWR-CAK/2023-06-07/2023-06-11/
Belfast,Reino Unido,660.0,986.83,British Airways,BHD,2023-06-12,2023-06-18,http://kayak.com/flights/EWR-BHD/2023-06-12/2023-06-18/
Arusha,Tanzânia,1990.0,1813.88,Ethiopian Air,JRO,2023-06-15,2023-06-22,http://kayak.com/flights/EWR-JRO/2023-06-15/2023-06-22/
Trapani,Itália,1630.0,1019.72,Várias companhias aéreas,TPS,2023-06-11,2023-06-18,http://kayak.com/flights/EWR-TPS/2023-06-11/2023-06-18/
Almaty,Cazaquistão,1415.0,1849.59,Várias companhias aéreas,ALA,2023-06-11,2023-06-17,http://kayak.com/flights/EWR-ALA/2023-06-11/2023-06-17/
Malmo,Suécia,2010.0,1128.74,Várias companhias aéreas,MMA,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-MMA/2023-06-03/2023-06-10/
Juneau,Estados Unidos,945.0,999.98,Delta,JNU,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-JNU/2023-06-08/2023-06-12/
Aspen,Estados Unidos,1297.0,652.25,Alaska Airlines,ASE,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-ASE/2023-06-08/2023-06-12/
Rapid City,Estados Unidos,1337.0,699.24,United Airlines,RAP,2023-06-05,2023-06-09,http://kayak.com/flights/EWR-RAP/2023-06-05/2023-06-09/
Aguascalientes,México,1697.0,888.14,Aeromexico,AGU,2023-06-09,2023-06-13,http://kayak.com/flights/EWR-AGU/2023-06-09/2023-06-13/
Saint John's,Antígua e Barbuda,1013.0,520.67,Air Canada,ANU,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-ANU/2023-06-17/2023-06-24/
Castries,Santa Lúcia,307.0,927.62,United Airlines,UVF,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-UVF/2023-06-17/2023-06-24/
Cozumel,México,1212.0,567.66,American Airlines,CZM,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-CZM/2023-06-08/2023-06-12/
Traverse City,Estados Unidos,803.0,431.39,American Airlines,TVC,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-TVC/2023-06-17/2023-06-24/
Bangor,Estados Unidos,114.0,403.19,United Airlines,BGR,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-BGR/2023-06-15/2023-06-19/
Roanoke,Estados Unidos,346.0,304.51,American Airlines,ROA,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-ROA/2023-06-01/2023-06-05/
Green Bay,Estados Unidos,313.0,403.19,Delta,GRB,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-GRB/2023-06-07/2023-06-14/
Montería,Colômbia,1601.0,633.45,Várias companhias aéreas,MTR,2023-06-18,2023-06-25,http://kayak.com/flights/EWR-MTR/2023-06-18/2023-06-25/
Mobile,Estados Unidos,342.0,573.3,American Airlines,MOB,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-MOB/2023-06-10/2023-06-17/
Buenos Aires,Argentina,2457.0,1440.76,GOL,AEP,2023-06-21,2023-06-25,http://kayak.com/flights/EWR-AEP/2023-06-21/2023-06-25/
San Carlos DeBariloche,Argentina,1950.0,1598.66,Várias companhias aéreas,BRC,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-BRC/2023-06-08/2023-06-15/
Aberdeen,Reino Unido,765.0,1001.86,British Airways,ABZ,2023-06-20,2023-06-25,http://kayak.com/flights/EWR-ABZ/2023-06-20/2023-06-25/
Alexandria,Egito,1560.0,1594.9,Turkish Airlines,HBE,2023-06-26,2023-06-30,http://kayak.com/flights/EWR-HBE/2023-06-26/2023-06-30/
Pula,Croácia,1055.0,1710.5,Lufthansa,PUY,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-PUY/2023-06-10/2023-06-17/
Esmirna,Turquia,1435.0,2105.22,LOT,ADB,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-ADB/2023-06-03/2023-06-10/
Algueiro,Itália,1060.0,1332.68,Várias companhias aéreas,AHO,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-AHO/2023-06-10/2023-06-17/
Macau,Macau,2790.0,1768.77,Várias companhias aéreas,MFM,2023-06-05,2023-06-11,http://kayak.com/flights/EWR-MFM/2023-06-05/2023-06-11/
Panglao,Filipinas,2370.0,2546.94,Várias companhias aéreas,TAG,2023-06-12,2023-06-19,http://kayak.com/flights/EWR-TAG/2023-06-12/2023-06-19/
Estocolmo,Suécia,685.0,1505.61,Várias companhias aéreas,BMA,2023-06-14,2023-06-20,http://kayak.com/flights/EWR-BMA/2023-06-14/2023-06-20/
Rzeszów,Polónia,850.0,1405.99,Várias companhias aéreas,RZE,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-RZE/2023-06-19/2023-06-26/
Everett,Estados Unidos,1767.0,734.01,Alaska Airlines,PAE,2023-06-22,2023-06-26,http://kayak.com/flights/EWR-PAE/2023-06-22/2023-06-26/
Helena,Estados Unidos,2091.0,754.69,Várias companhias aéreas,HLN,2023-06-14,2023-06-18,http://kayak.com/flights/EWR-HLN/2023-06-14/2023-06-18/
Comox,Canadá,1467.0,712.4,Várias companhias aéreas,YQQ,2023-06-12,2023-06-18,http://kayak.com/flights/EWR-YQQ/2023-06-12/2023-06-18/
Great Falls,Estados Unidos,1437.0,629.69,Várias companhias aéreas,GTF,2023-06-02,2023-06-09,http://kayak.com/flights/EWR-GTF/2023-06-02/2023-06-09/
Abbotsford,Canadá,650.0,366.54,Várias companhias aéreas,YXX,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-YXX/2023-06-04/2023-06-08/
Nanaimo,Canadá,574.0,581.76,Air Canada,YCD,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-YCD/2023-06-20/2023-06-27/
Santa Fé,Estados Unidos,540.0,539.47,American Airlines,SAF,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-SAF/2023-06-03/2023-06-10/
Phoenix,Estados Unidos,1449.0,453.0,Várias companhias aéreas,AZA,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-AZA/2023-06-19/2023-06-26/
Vail,Estados Unidos,751.0,403.19,American Airlines,EGE,2023-06-03,2023-06-07,http://kayak.com/flights/EWR-EGE/2023-06-03/2023-06-07/
Flagstaff,Estados Unidos,1173.0,766.91,American Airlines,FLG,2023-06-03,2023-06-09,http://kayak.com/flights/EWR-FLG/2023-06-03/2023-06-09/
Shreveport,Estados Unidos,406.0,440.79,Delta,SHV,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-SHV/2023-06-03/2023-06-10/
Idaho Falls,Estados Unidos,1305.0,648.49,Várias companhias aéreas,IDA,2023-06-07,2023-06-11,http://kayak.com/flights/EWR-IDA/2023-06-07/2023-06-11/
Monterey,Estados Unidos,721.0,567.66,American Airlines,MRY,2023-06-23,2023-06-27,http://kayak.com/flights/EWR-MRY/2023-06-23/2023-06-27/
Moline,Estados Unidos,555.0,765.97,United Airlines,MLI,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-MLI/2023-06-08/2023-06-13/
Durango,Estados Unidos,443.0,574.24,American Airlines,DRO,2023-06-10,2023-06-14,http://kayak.com/flights/EWR-DRO/2023-06-10/2023-06-14/
Toronto,Canadá,105.0,157.9,Porter Airlines,YTZ,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-YTZ/2023-06-06/2023-06-13/
Road Town,Ilhas Virgens Britânicas,830.0,685.14,Várias companhias aéreas,EIS,2023-06-22,2023-06-28,http://kayak.com/flights/EWR-EIS/2023-06-22/2023-06-28/
Ponce,Porto Rico,608.0,545.11,JetBlue,PSE,2023-06-24,2023-06-29,http://kayak.com/flights/EWR-PSE/2023-06-24/2023-06-29/
Hilton Head Island,Estados Unidos,388.0,370.3,American Airlines,HHH,2023-06-20,2023-06-24,http://kayak.com/flights/EWR-HHH/2023-06-20/2023-06-24/
Nantucket,Estados Unidos,348.0,319.55,JetBlue,ACK,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-ACK/2023-06-02/2023-06-06/
Coxen Hole,Honduras,507.0,700.18,American Airlines,RTB,2023-06-04,2023-06-09,http://kayak.com/flights/EWR-RTB/2023-06-04/2023-06-09/
Christiansted,Ilhas Virgens Americanas,537.0,507.51,United Airlines,STX,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-STX/2023-06-15/2023-06-19/
Charleston,Estados Unidos,288.0,514.09,American Airlines,CRW,2023-06-12,2023-06-18,http://kayak.com/flights/EWR-CRW/2023-06-12/2023-06-18/
Fayetteville,Estados Unidos,430.0,377.82,Delta,FAY,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-FAY/2023-06-07/2023-06-14/
Ilhéus,Brasil,1508.0,919.16,Várias companhias aéreas,IOS,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-IOS/2023-06-19/2023-06-26/
Inverness,Reino Unido,800.0,757.51,British Airways,INV,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-INV/2023-06-03/2023-06-10/
Southampton,Reino Unido,815.0,1685.12,British Airways,SOU,2023-06-21,2023-06-25,http://kayak.com/flights/EWR-SOU/2023-06-21/2023-06-25/
Cardiff,Reino Unido,1975.0,2404.09,Aer Lingus,CWL,2023-06-19,2023-06-24,http://kayak.com/flights/EWR-CWL/2023-06-19/2023-06-24/
Kigali,Ruanda,1650.0,1794.14,Turkish Airlines,KGL,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-KGL/2023-06-13/2023-06-20/
Abuja,Nigéria,1350.0,1249.04,Lufthansa,ABV,2023-06-21,2023-06-26,http://kayak.com/flights/EWR-ABV/2023-06-21/2023-06-26/
Peshawar,Paquistão,1965.0,1632.49,Várias companhias aéreas,PEW,2023-06-15,2023-06-20,http://kayak.com/flights/EWR-PEW/2023-06-15/2023-06-20/
Taipé,Taiwan,2270.0,1785.68,ANA,TSA,2023-06-22,2023-06-26,http://kayak.com/flights/EWR-TSA/2023-06-22/2023-06-26/
Ulã Bator,Mongólia,1870.0,2268.75,Várias companhias aéreas,UBN,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-UBN/2023-06-07/2023-06-14/
Lajes,Portugal,865.0,1162.57,Várias companhias aéreas,TER,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-TER/2023-06-10/2023-06-17/
Freetown,Serra Leoa,2645.0,1025.36,Várias companhias aéreas,FNA,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-FNA/2023-06-20/2023-06-27/
Rijeka,Croácia,2085.0,1502.79,Várias companhias aéreas,RJK,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-RJK/2023-06-10/2023-06-17/
Malmo,Suécia,2010.0,1128.74,Várias companhias aéreas,MMX,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-MMX/2023-06-03/2023-06-10/
Duluth,Estados Unidos,648.0,942.65,Delta,DLH,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-DLH/2023-06-15/2023-06-19/
Bismarck,Estados Unidos,1280.0,572.36,American Airlines,BIS,2023-06-12,2023-06-19,http://kayak.com/flights/EWR-BIS/2023-06-12/2023-06-19/
Grande Prairie,Canadá,1235.0,641.91,Delta,YQU,2023-06-12,2023-06-16,http://kayak.com/flights/EWR-YQU/2023-06-12/2023-06-16/
Yuma,Estados Unidos,515.0,587.4,American Airlines,YUM,2023-06-16,2023-06-23,http://kayak.com/flights/EWR-YUM/2023-06-16/2023-06-23/
Hailey,Estados Unidos,512.0,1182.31,Delta,SUN,2023-06-19,2023-06-25,http://kayak.com/flights/EWR-SUN/2023-06-19/2023-06-25/
Cidade do México,México,750.0,718.97,Aeromexico,NLU,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-NLU/2023-06-07/2023-06-14/
Montrose,Estados Unidos,1392.0,472.74,American Airlines,MTJ,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-MTJ/2023-06-03/2023-06-10/
Lincoln,Estados Unidos,415.0,987.77,United Airlines,LNK,2023-06-20,2023-06-25,http://kayak.com/flights/EWR-LNK/2023-06-20/2023-06-25/
Tampico,México,980.0,541.35,United Airlines,TAM,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-TAM/2023-06-07/2023-06-14/
Bakersfield,Estados Unidos,852.0,571.42,American Airlines,BFL,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-BFL/2023-06-13/2023-06-20/
Basseterre,São Cristóvão e Neves,514.0,759.39,American Airlines,SKB,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-SKB/2023-06-01/2023-06-08/
Roseau,Dominica,1425.0,716.16,Várias companhias aéreas,DOM,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-DOM/2023-06-14/2023-06-21/
Freeport,Bahamas,586.0,1180.43,American Airlines,FPO,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-FPO/2023-06-02/2023-06-06/
George Town,Bahamas,1232.0,807.32,American Airlines,GGT,2023-06-09,2023-06-16,http://kayak.com/flights/EWR-GGT/2023-06-09/2023-06-16/
Castries,Santa Lúcia,2240.0,937.96,Várias companhias aéreas,SLU,2023-06-04,2023-06-10,http://kayak.com/flights/EWR-SLU/2023-06-04/2023-06-10/
West Tisbury,Estados Unidos,425.0,864.65,Várias companhias aéreas,MVY,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-MVY/2023-06-15/2023-06-19/
Kralendijk,Países Baixos Caribenhos,300.0,562.96,United Airlines,BON,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-BON/2023-06-03/2023-06-10/
Bar Harbor,Estados Unidos,355.0,671.98,Várias companhias aéreas,BHB,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-BHB/2023-06-10/2023-06-17/
Kingstown,São Vicente e Granadinas,562.0,646.61,American Airlines,SVD,2023-06-04,2023-06-09,http://kayak.com/flights/EWR-SVD/2023-06-04/2023-06-09/
Erie,Estados Unidos,529.0,487.78,American Airlines,ERI,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-ERI/2023-06-07/2023-06-14/
Kalamazoo,Estados Unidos,764.0,401.31,American Airlines,AZO,2023-06-01,2023-06-07,http://kayak.com/flights/EWR-AZO/2023-06-01/2023-06-07/
Ítaca,Estados Unidos,79.0,286.65,United Airlines,ITH,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-ITH/2023-06-03/2023-06-10/
Blountville,Estados Unidos,560.0,1047.92,Várias companhias aéreas,TRI,2023-06-07,2023-06-13,http://kayak.com/flights/EWR-TRI/2023-06-07/2023-06-13/
Lynchburg,Estados Unidos,266.0,362.78,American Airlines,LYH,2023-06-12,2023-06-18,http://kayak.com/flights/EWR-LYH/2023-06-12/2023-06-18/
