City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Lihue,Estados Unidos,581.0,740.59,United Airlines,LIH,2023-06-21,2023-06-26,http://kayak.com/flights/DEN-LIH/2023-06-21/2023-06-26/,740.59,1.0
Angeles City,Filipinas,2387.0,2344.88,Qatar Airways,CRK,2023-06-09,2023-06-15,http://kayak.com/flights/DEN-CRK/2023-06-09/2023-06-15/,2344.88,1.0
Libéria,Costa Rica,1204.0,1032.88,American Airlines,LIR,2023-06-17,2023-06-24,http://kayak.com/flights/DEN-LIR/2023-06-17/2023-06-24/,1032.88,1.0
Saint Thomas Island,Ilhas Virgens Americanas,1850.0,853.37,Spirit Airlines,STT,2023-06-12,2023-06-19,http://kayak.com/flights/DEN-STT/2023-06-12/2023-06-19/,853.37,1.0
Madison,Estados Unidos,1508.0,429.51,United Airlines,MSN,2023-06-14,2023-06-18,http://kayak.com/flights/DEN-MSN/2023-06-14/2023-06-18/,429.51,1.0
Quebec,Canadá,456.0,451.12,Air Canada,YQB,2023-06-12,2023-06-18,http://kayak.com/flights/DEN-YQB/2023-06-12/2023-06-18/,451.12,1.0
Greenville,Estados Unidos,659.0,650.37,United Airlines,GSP,2023-06-09,2023-06-14,http://kayak.com/flights/DEN-GSP/2023-06-09/2023-06-14/,650.37,1.0
Wichita,Estados Unidos,90.0,223.68,United Airlines,ICT,2023-06-03,2023-06-09,http://kayak.com/flights/DEN-ICT/2023-06-03/2023-06-09/,223.68,1.0
Birmingham,Estados Unidos,186.0,688.9,United Airlines,BHM,2023-06-23,2023-06-27,http://kayak.com/flights/DEN-BHM/2023-06-23/2023-06-27/,688.9,1.0
San Pedro,Honduras,1032.0,571.42,United Airlines,SAP,2023-06-22,2023-06-29,http://kayak.com/flights/DEN-SAP/2023-06-22/2023-06-29/,571.42,1.0
Asheville,Estados Unidos,442.0,467.1,Delta,AVL,2023-06-15,2023-06-19,http://kayak.com/flights/DEN-AVL/2023-06-15/2023-06-19/,467.1,1.0
Cidade de Belize,Belize,1722.0,910.7,American Airlines,BZE,2023-06-19,2023-06-24,http://kayak.com/flights/DEN-BZE/2023-06-19/2023-06-24/,910.7,1.0
Eugene,Estados Unidos,697.0,455.82,Várias companhias aéreas,EUG,2023-06-15,2023-06-20,http://kayak.com/flights/DEN-EUG/2023-06-15/2023-06-20/,455.82,1.0
Key West,Estados Unidos,669.0,885.32,American Airlines,EYW,2023-06-08,2023-06-14,http://kayak.com/flights/DEN-EYW/2023-06-08/2023-06-14/,885.32,1.0
El Paso,Estados Unidos,116.0,359.96,United Airlines,ELP,2023-06-01,2023-06-05,http://kayak.com/flights/DEN-ELP/2023-06-01/2023-06-05/,359.96,1.0
Tulsa,Estados Unidos,264.0,380.64,American Airlines,TUL,2023-06-07,2023-06-11,http://kayak.com/flights/DEN-TUL/2023-06-07/2023-06-11/,380.64,1.0
