City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Viena,Áustria,345.0,188.91,Ryanair,VIE,2023-04-09,2023-04-16,http://kayak.com/flights/OPO-VIE/2023-04-09/2023-04-16/,188.91,1.0
Frankfurt,Alemanha,160.0,241.54,Ryanair,FRA,2023-04-01,2023-04-08,http://kayak.com/flights/OPO-FRA/2023-04-01/2023-04-08/,241.54,1.0
Amesterdão,Holanda,670.0,171.05,Vueling,AMS,2023-12-01,2023-12-08,http://kayak.com/flights/OPO-AMS/2023-12-01/2023-12-08/,171.05,1.0
Las Vegas,Estados Unidos,1469.0,708.64,Delta,LAS,2023-04-14,2023-04-20,http://kayak.com/flights/OPO-LAS/2023-04-14/2023-04-20/,708.64,1.0
Roma,Itália,190.0,90.23,Wizz Air,ROM,2023-05-12,2023-05-19,http://kayak.com/flights/OPO-ROM/2023-05-12/2023-05-19/,90.23,1.0
Manila,Filipinas,2370.0,1304.49,Singapore Airlines,MNL,2023-08-21,2023-08-27,http://kayak.com/flights/OPO-MNL/2023-08-21/2023-08-27/,1304.49,1.0
Newark,Estados Unidos,1146.0,495.3,Delta,EWR,2023-04-18,2023-04-22,http://kayak.com/flights/OPO-EWR/2023-04-18/2023-04-22/,495.3,1.0
Atlanta,Estados Unidos,1420.0,619.35,KLM,ATL,2023-04-04,2023-04-09,http://kayak.com/flights/OPO-ATL/2023-04-04/2023-04-09/,619.35,1.0
Seattle,Estados Unidos,2156.0,772.55,American Airlines,SEA,2023-03-18,2023-03-25,http://kayak.com/flights/OPO-SEA/2023-03-18/2023-03-25/,772.55,1.0
Berlim,Alemanha,660.0,183.27,Várias companhias aéreas,BER,2023-06-08,2023-06-12,http://kayak.com/flights/OPO-BER/2023-06-08/2023-06-12/,183.27,1.0
Munique,Alemanha,755.0,182.33,Várias companhias aéreas,MUC,2023-09-16,2023-09-22,http://kayak.com/flights/OPO-MUC/2023-09-16/2023-09-22/,182.33,1.0
Singapura,Singapura,2275.0,922.92,Turkish Airlines,SIN,2023-08-23,2023-08-30,http://kayak.com/flights/OPO-SIN/2023-08-23/2023-08-30/,922.92,1.0
