City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Richards Bay,África do Sul,2190,1484.94,Várias companhias aéreas,RCB,2023-11-01,2023-11-08,http://kayak.com/flights/EWR-RCB/2023-11-01/2023-11-08/,1484.94,1
Kos,Grécia,945,1620.27,Várias companhias aéreas,KGS,2023-07-20,2023-07-27,http://kayak.com/flights/EWR-KGS/2023-07-20/2023-07-27/,1620.27,1
Pernem,Índia,3315,1484.0,Várias companhias aéreas,GOX,2023-04-05,2023-04-10,http://kayak.com/flights/EWR-GOX/2023-04-05/2023-04-10/,1484.0,1
Hoolehua,Estados Unidos,1241,1474.6,Várias companhias aéreas,MKK,2023-06-24,2023-06-30,http://kayak.com/flights/EWR-MKK/2023-06-24/2023-06-30/,1474.6,1
Belém,Brasil,2208,1660.68,LATAM Airlines,BEL,2023-03-13,2023-03-20,http://kayak.com/flights/EWR-BEL/2023-03-13/2023-03-20/,1660.68,1
Hat Yai,Tailândia,2830,1507.49,Emirates,HDY,2023-05-04,2023-05-10,http://kayak.com/flights/EWR-HDY/2023-05-04/2023-05-10/,1507.49,1
Kiruna,Suécia,1345,1498.09,Scandinavian Airlines,KRN,2023-10-01,2023-10-06,http://kayak.com/flights/EWR-KRN/2023-10-01/2023-10-06/,1498.09,1
Niamey,Níger,1050,1488.7,Várias companhias aéreas,NIM,2023-04-19,2023-04-23,http://kayak.com/flights/EWR-NIM/2023-04-19/2023-04-23/,1488.7,1
Punta Arenas,Chile,2167,1538.51,Várias companhias aéreas,PUQ,2023-04-09,2023-04-16,http://kayak.com/flights/EWR-PUQ/2023-04-09/2023-04-16/,1538.51,1
Cantão,China,2603,1768.77,Várias companhias aéreas,CAN,2023-04-30,2023-05-04,http://kayak.com/flights/EWR-CAN/2023-04-30/2023-05-04/,1768.77,1
Kagoshima,Japão,1909,1512.19,Várias companhias aéreas,KOJ,2023-05-11,2023-05-15,http://kayak.com/flights/EWR-KOJ/2023-05-11/2023-05-15/,1512.19,1
Sapporo,Japão,1370,1761.25,Várias companhias aéreas,CTS,2023-04-02,2023-04-08,http://kayak.com/flights/EWR-CTS/2023-04-02/2023-04-08/,1761.25,1
Port Harcourt,Nigéria,2686,1502.79,Várias companhias aéreas,PHC,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-PHC/2023-04-10/2023-04-17/,1502.79,1
Libreville,Gabão,2080,1564.82,Ethiopian Air,LBV,2023-04-01,2023-04-08,http://kayak.com/flights/EWR-LBV/2023-04-01/2023-04-08/,1564.82,1
Conacri,Guiné,1695,1603.35,Delta,CKY,2023-06-28,2023-07-05,http://kayak.com/flights/EWR-CKY/2023-06-28/2023-07-05/,1603.35,1
Córdova,Argentina,1700,1704.86,Copa Airlines,COR,2023-07-09,2023-07-14,http://kayak.com/flights/EWR-COR/2023-07-09/2023-07-14/,1704.86,1
Nagóia,Japão,2915,1713.32,Várias companhias aéreas,NGO,2023-06-27,2023-07-03,http://kayak.com/flights/EWR-NGO/2023-06-27/2023-07-03/,1713.32,1
Iași,Roménia,1555,1787.56,Várias companhias aéreas,IAS,2023-03-19,2023-03-23,http://kayak.com/flights/EWR-IAS/2023-03-19/2023-03-23/,1787.56,1
Cartum,Sudão,1350,1659.74,Ethiopian Air,KRT,2023-07-08,2023-07-14,http://kayak.com/flights/EWR-KRT/2023-07-08/2023-07-14/,1659.74,1
Enugu,Nigéria,2180,1581.74,Ethiopian Air,ENU,2023-09-16,2023-09-23,http://kayak.com/flights/EWR-ENU/2023-09-16/2023-09-23/,1581.74,1
Peshawar,Paquistão,1965,1632.49,Várias companhias aéreas,PEW,2023-06-15,2023-06-20,http://kayak.com/flights/EWR-PEW/2023-06-15/2023-06-20/,1632.49,1
Vila do Porto,Portugal,2055,1580.8,TAP AIR PORTUGAL,SMA,2023-07-19,2023-07-23,http://kayak.com/flights/EWR-SMA/2023-07-19/2023-07-23/,1580.8,1
Akureyri,Islândia,1713,1630.61,Icelandair,AEY,2023-04-06,2023-04-11,http://kayak.com/flights/EWR-AEY/2023-04-06/2023-04-11/,1630.61,1
Saint-Denis,Ilha da Reunião,1850,1802.6,French Bee,RUN,2023-05-07,2023-05-12,http://kayak.com/flights/EWR-RUN/2023-05-07/2023-05-12/,1802.6,1
Nuuk,Gronelândia,2097,1604.29,Icelandair,GOH,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-GOH/2023-06-08/2023-06-15/,1604.29,1
Vaitape,Polinésia Francesa,2635,1812.94,Várias companhias aéreas,BOB,2023-05-20,2023-05-27,http://kayak.com/flights/EWR-BOB/2023-05-20/2023-05-27/,1812.94,1
Rayong,Tailândia,2620,1646.59,Emirates,UTP,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-UTP/2023-06-06/2023-06-13/,1646.59,1
Lubumbashi,República Democrática do Congo,2050,1628.73,Ethiopian Air,FBM,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-FBM/2023-06-01/2023-06-05/,1628.73,1
Mombaça,Quénia,1915,1777.22,Ethiopian Air,MBA,2023-07-28,2023-08-04,http://kayak.com/flights/EWR-MBA/2023-07-28/2023-08-04/,1777.22,1
São Pedro,Cabo Verde,3522,1642.83,TAP AIR PORTUGAL,VXE,2023-04-15,2023-04-22,http://kayak.com/flights/EWR-VXE/2023-04-15/2023-04-22/,1642.83,1
Aracaju,Brasil,2470,1729.29,LATAM Airlines,AJU,2023-03-12,2023-03-18,http://kayak.com/flights/EWR-AJU/2023-03-12/2023-03-18/,1729.29,1
Ipatinga,Brasil,1480,1656.93,Azul,IPN,2023-04-07,2023-04-14,http://kayak.com/flights/EWR-IPN/2023-04-07/2023-04-14/,1656.93,1
